productid,date,state,market size,product type,caffeine type,sales,cogs,total expesense,marketing,inventory,budget cogs,budget sales
3,2010-07-01,California,Major Market,Coffee,Decaf,202,238,121,78,2797,290,250
2,2010-07-01,Iowa,Small Market,Coffee,Regular,75,34,32,10,1010,30,70
3,2010-07-01,Iowa,Small Market,Coffee,Decaf,54,23,19,7,605,20,50
10,2010-07-01,New York,Major Market,Herbal Tea,Decaf,198,260,102,80,3076,190,150
1,2010-07-01,Colorado,Major Market,Coffee,Regular,256,104,41,29,952,110,260
10,2010-07-01,Colorado,Major Market,Herbal Tea,Decaf,110,47,42,15,420,40,90
12,2010-07-01,Colorado,Major Market,Tea,Regular,109,50,36,15,1051,40,90
3,2010-07-01,Florida,Major Market,Coffee,Decaf,336,141,66,43,692,130,310
8,2010-07-01,Ohio,Major Market,Herbal Tea,Decaf,44,18,17,5,486,10,30
11,2010-07-01,Ohio,Major Market,Tea,Regular,286,114,68,37,822,90,250
2,2010-07-01,Nevada,Small Market,Coffee,Regular,82,36,47,13,252,40,100
3,2010-07-01,Nevada,Small Market,Coffee,Decaf,75,34,32,10,1010,40,90
5,2010-07-01,Nevada,Small Market,Espresso,Regular,61,25,19,7,854,20,50
8,2010-07-01,Nevada,Small Market,Herbal Tea,Decaf,387,162,180,147,943,130,340
9,2010-07-01,Nevada,Small Market,Herbal Tea,Decaf,567,238,121,78,1190,200,490
10,2010-07-01,Nevada,Small Market,Herbal Tea,Decaf,376,154,72,49,833,130,330
12,2010-07-01,Nevada,Small Market,Tea,Regular,532,266,98,74,1819,170,360
2,2010-07-01,Utah,Small Market,Coffee,Regular,100,43,41,14,388,50,120
5,2010-07-01,Utah,Small Market,Espresso,Regular,106,46,28,15,587,40,100
6,2010-07-01,Utah,Small Market,Espresso,Decaf,87,35,21,9,894,30,80
10,2010-07-01,Utah,Small Market,Herbal Tea,Decaf,169,120,61,37,1334,100,140
4,2010-07-01,Utah,Small Market,Espresso,Regular,96,39,21,10,845,30,90
8,2010-07-01,California,Major Market,Herbal Tea,Decaf,312,127,46,35,1007,100,270
10,2010-07-01,Illinois,Major Market,Herbal Tea,Decaf,312,127,46,35,1007,100,270
11,2010-07-01,Illinois,Major Market,Tea,Regular,230,94,37,26,608,80,200
12,2010-07-01,Illinois,Major Market,Tea,Regular,131,52,48,17,668,40,110
13,2010-07-01,Missouri,Small Market,Tea,Regular,82,36,46,13,252,30,70
8,2010-07-01,Missouri,Small Market,Herbal Tea,Decaf,141,59,83,53,338,50,120
12,2010-07-01,Missouri,Small Market,Tea,Regular,89,40,48,15,219,30,70
4,2010-07-01,California,Major Market,Espresso,Regular,532,266,99,74,1819,250,510
10,2010-07-01,California,Major Market,Herbal Tea,Decaf,199,87,40,28,564,70,170
12,2010-07-01,California,Major Market,Tea,Regular,230,94,38,26,608,60,150
6,2010-07-01,Texas,Major Market,Espresso,Decaf,230,94,38,26,608,80,190
2,2010-07-01,New York,Major Market,Coffee,Regular,912,364,178,127,2654,340,860
13,2010-07-01,Connecticut,Small Market,Tea,Regular,51,20,16,5,814,20,50
5,2010-07-01,Connecticut,Small Market,Espresso,Regular,113,47,71,42,622,40,110
6,2010-07-01,Florida,Major Market,Espresso,Decaf,227,97,59,32,575,90,220
8,2010-07-01,Florida,Major Market,Herbal Tea,Decaf,115,50,29,16,587,30,80
8,2010-07-01,Texas,Major Market,Herbal Tea,Decaf,110,47,43,15,420,40,100
2,2010-07-01,Florida,Major Market,Coffee,Regular,286,114,68,37,822,100,270
9,2010-07-01,Florida,Major Market,Herbal Tea,Decaf,133,59,55,22,403,40,100
10,2010-07-01,Florida,Major Market,Herbal Tea,Decaf,189,86,48,26,1081,60,140
5,2010-07-01,Oklahoma,Small Market,Espresso,Regular,44,18,17,5,486,10,30
1,2010-07-01,Wisconsin,Small Market,Coffee,Regular,133,59,56,22,403,60,130
3,2010-07-01,Wisconsin,Small Market,Coffee,Decaf,227,97,59,32,575,100,230
6,2010-07-01,Wisconsin,Small Market,Espresso,Decaf,115,50,29,16,587,50,130
8,2010-07-01,Wisconsin,Small Market,Herbal Tea,Decaf,104,39,36,12,380,30,90
11,2010-07-01,Wisconsin,Small Market,Tea,Regular,90,36,33,11,462,30,70
13,2010-07-01,Florida,Major Market,Tea,Regular,144,59,27,16,870,60,150
9,2010-07-01,Connecticut,Small Market,Herbal Tea,Decaf,169,76,61,28,613,50,130
10,2010-07-01,Connecticut,Small Market,Herbal Tea,Decaf,132,60,39,18,1070,40,100
2,2010-07-01,Colorado,Major Market,Coffee,Regular,199,87,41,28,564,90,200
3,2010-07-01,Colorado,Major Market,Coffee,Decaf,312,127,46,35,1007,130,320
9,2010-07-01,Colorado,Major Market,Herbal Tea,Decaf,95,39,66,36,517,30,80
11,2010-07-01,Colorado,Major Market,Tea,Regular,115,51,52,19,419,40,100
1,2010-07-01,Oregon,Small Market,Coffee,Regular,95,39,66,36,517,40,110
2,2010-07-01,Oregon,Small Market,Coffee,Regular,94,39,55,12,478,40,110
4,2010-07-01,Oregon,Small Market,Espresso,Regular,115,51,52,19,419,40,110
5,2010-07-01,Massachusetts,Major Market,Espresso,Regular,111,39,65,36,560,30,100
9,2010-07-01,Massachusetts,Major Market,Herbal Tea,Decaf,115,51,53,19,419,30,80
4,2010-07-01,Louisiana,Small Market,Espresso,Regular,113,47,72,42,-395,40,90
6,2010-08-01,Connecticut,Small Market,Espresso,Decaf,98,42,40,13,384,40,90
11,2010-08-01,Connecticut,Small Market,Tea,Regular,83,34,21,9,890,30,80
3,2010-08-01,Washington,Small Market,Coffee,Decaf,317,133,150,120,705,160,390
13,2010-08-01,Washington,Small Market,Tea,Regular,105,44,69,39,617,20,70
6,2010-08-01,Washington,Small Market,Espresso,Decaf,226,103,52,31,1073,90,210
12,2010-08-01,Washington,Small Market,Tea,Regular,90,36,34,11,458,20,60
4,2010-08-01,Washington,Small Market,Espresso,Regular,69,30,22,9,581,20,60
11,2010-08-01,Illinois,Major Market,Tea,Regular,245,100,40,28,598,80,210
1,2010-08-01,Ohio,Major Market,Coffee,Regular,108,46,43,15,415,40,110
2,2010-08-01,Ohio,Major Market,Coffee,Regular,85,34,32,10,428,30,80
11,2010-08-01,Ohio,Major Market,Tea,Regular,286,114,69,37,810,90,250
9,2010-08-01,Washington,Small Market,Herbal Tea,Decaf,118,48,25,13,839,40,100
11,2010-08-01,Washington,Small Market,Tea,Regular,126,47,37,14,366,30,80
6,2010-08-01,Wisconsin,Small Market,Espresso,Decaf,69,30,21,9,581,30,80
9,2010-08-01,Wisconsin,Small Market,Herbal Tea,Decaf,154,63,28,17,864,50,130
9,2010-08-01,Texas,Major Market,Herbal Tea,Decaf,85,34,32,10,428,30,80
8,2010-08-01,Colorado,Major Market,Herbal Tea,Decaf,291,145,64,40,1292,120,250
10,2010-08-01,Colorado,Major Market,Herbal Tea,Decaf,108,46,42,15,415,30,90
9,2010-08-01,Florida,Major Market,Herbal Tea,Decaf,140,63,57,23,397,40,100
10,2010-08-01,Florida,Major Market,Herbal Tea,Decaf,226,103,53,31,1073,70,170
10,2010-08-01,Illinois,Major Market,Herbal Tea,Decaf,323,132,48,36,994,110,280
10,2010-08-01,California,Major Market,Herbal Tea,Decaf,120,52,30,17,554,40,100
12,2010-08-01,California,Major Market,Tea,Regular,245,100,40,28,598,60,160
5,2010-08-01,Missouri,Small Market,Espresso,Regular,83,34,20,9,890,30,90
8,2010-08-01,Missouri,Small Market,Herbal Tea,Decaf,151,63,86,57,332,50,130
3,2010-08-01,Florida,Major Market,Coffee,Decaf,277,116,59,35,678,110,260
9,2010-08-01,Ohio,Major Market,Herbal Tea,Decaf,55,22,17,6,865,10,40
12,2010-08-01,Ohio,Major Market,Tea,Regular,277,116,58,35,678,90,240
5,2010-08-01,Louisiana,Small Market,Espresso,Regular,126,47,38,14,366,40,100
5,2010-08-01,Massachusetts,Major Market,Espresso,Regular,105,37,62,33,540,30,100
9,2010-08-01,Massachusetts,Major Market,Herbal Tea,Decaf,109,49,51,18,414,30,80
8,2010-08-01,Washington,Small Market,Herbal Tea,Decaf,225,90,60,29,1139,70,190
2,2010-08-01,Oklahoma,Small Market,Coffee,Regular,155,68,34,22,587,80,190
3,2010-08-01,Oklahoma,Small Market,Coffee,Decaf,55,22,17,6,865,20,60
6,2010-08-01,Oklahoma,Small Market,Espresso,Decaf,286,114,69,37,810,90,240
7,2010-08-01,Massachusetts,Major Market,Espresso,Regular,291,145,64,40,1292,130,280
3,2010-08-01,Wisconsin,Small Market,Coffee,Decaf,231,99,59,32,565,100,240
2,2010-08-01,Missouri,Small Market,Coffee,Regular,160,72,61,27,606,70,160
13,2010-08-01,Missouri,Small Market,Tea,Regular,86,38,47,14,248,30,70
6,2010-08-01,Missouri,Small Market,Espresso,Decaf,80,32,20,8,841,30,90
5,2010-08-01,Washington,Small Market,Espresso,Regular,140,63,57,23,397,60,130
8,2010-08-01,Texas,Major Market,Herbal Tea,Decaf,108,46,43,15,415,40,100
4,2010-08-01,Texas,Major Market,Espresso,Regular,131,52,49,17,-587,40,110
2,2010-08-01,Utah,Small Market,Coffee,Regular,98,42,41,13,384,50,120
3,2010-08-01,Utah,Small Market,Coffee,Decaf,160,72,61,27,606,90,200
13,2010-08-01,Utah,Small Market,Tea,Regular,65,29,45,11,215,10,40
6,2010-08-01,Utah,Small Market,Espresso,Decaf,83,34,21,9,890,30,70
9,2010-08-01,Utah,Small Market,Herbal Tea,Decaf,160,64,52,21,460,50,140
12,2010-08-01,Utah,Small Market,Tea,Regular,105,45,41,14,253,20,70
2,2010-08-01,Connecticut,Small Market,Coffee,Regular,225,90,60,29,1139,80,210
5,2010-08-01,Oregon,Small Market,Espresso,Regular,108,46,43,15,415,40,100
6,2010-08-01,Oregon,Small Market,Espresso,Decaf,291,145,65,40,1292,130,270
11,2010-08-01,Oregon,Small Market,Tea,Regular,41,16,16,4,484,10,20
2,2010-08-01,Louisiana,Small Market,Coffee,Regular,118,48,24,13,839,60,140
3,2010-08-01,Louisiana,Small Market,Coffee,Decaf,154,63,28,17,864,70,190
6,2010-08-01,Louisiana,Small Market,Espresso,Decaf,90,36,33,11,458,30,70
8,2010-08-01,Louisiana,Small Market,Herbal Tea,Decaf,176,77,38,25,581,70,170
2,2010-08-01,New Mexico,Small Market,Coffee,Regular,160,64,52,21,460,80,200
3,2010-08-01,New Mexico,Small Market,Coffee,Decaf,139,120,61,37,1439,150,170
5,2010-08-01,New Mexico,Small Market,Espresso,Regular,151,63,86,57,332,50,120
6,2010-08-01,New Mexico,Small Market,Espresso,Decaf,105,45,42,14,253,30,90
8,2010-08-01,New Mexico,Small Market,Herbal Tea,Decaf,63,25,19,7,851,20,60
9,2010-08-01,New Mexico,Small Market,Herbal Tea,Decaf,90,41,34,12,1007,30,80
4,2010-08-01,New Mexico,Small Market,Espresso,Regular,65,29,44,11,-347,20,50
2,2010-08-01,Massachusetts,Major Market,Coffee,Regular,664,52,49,17,-2033,40,630
13,2010-08-01,Massachusetts,Major Market,Tea,Regular,41,16,16,4,484,10,40
11,2010-08-01,Massachusetts,Major Market,Tea,Regular,55,22,17,6,865,20,50
2,2010-08-01,Washington,Small Market,Coffee,Regular,211,86,49,27,454,100,260
6,2010-08-01,Texas,Major Market,Espresso,Decaf,245,100,40,28,598,80,210
5,2010-08-01,Ohio,Major Market,Espresso,Regular,291,145,65,40,1292,160,340
6,2010-08-01,Iowa,Small Market,Espresso,Decaf,43,0,12,0,516,0,50
11,2010-08-01,Iowa,Small Market,Tea,Regular,532,266,99,74,1797,220,460
12,2010-08-01,Iowa,Small Market,Tea,Regular,632,284,141,107,1809,240,550
5,2010-08-01,New York,Major Market,Espresso,Regular,78,173,189,156,2615,160,70
5,2010-08-01,California,Major Market,Espresso,Regular,412,173,189,156,927,160,390
1,2010-08-01,Oregon,Small Market,Coffee,Regular,89,37,63,33,513,40,110
3,2010-08-01,Oregon,Small Market,Coffee,Decaf,85,34,32,10,428,40,100
13,2010-08-01,Oregon,Small Market,Tea,Regular,277,116,59,35,678,70,180
9,2010-08-01,Oregon,Small Market,Herbal Tea,Decaf,155,68,34,22,587,50,130
1,2010-08-01,California,Major Market,Coffee,Regular,87,154,72,49,2105,190,100
2,2010-08-01,Iowa,Small Market,Coffee,Regular,90,41,34,12,1007,40,90
8,2010-08-01,Ohio,Major Market,Herbal Tea,Decaf,41,16,16,4,484,10,30
9,2010-08-01,Missouri,Small Market,Herbal Tea,Decaf,139,120,60,37,1439,100,120
8,2010-08-01,Oklahoma,Small Market,Herbal Tea,Decaf,140,63,57,23,397,60,130
9,2010-08-01,Oklahoma,Small Market,Herbal Tea,Decaf,317,133,150,120,705,120,310
1,2010-08-01,New Hampshire,Small Market,Coffee,Regular,151,61,42,19,322,50,140
2,2010-08-01,New Hampshire,Small Market,Coffee,Regular,160,64,52,21,460,60,150
13,2010-08-01,New Hampshire,Small Market,Tea,Regular,43,0,12,0,516,0,40
5,2010-08-01,New Hampshire,Small Market,Espresso,Regular,151,63,87,57,332,60,140
9,2010-08-01,New Hampshire,Small Market,Herbal Tea,Decaf,86,38,47,14,248,20,60
11,2010-08-01,New Hampshire,Small Market,Tea,Regular,63,25,18,7,851,20,60
7,2010-08-01,New Hampshire,Small Market,Espresso,Regular,65,29,45,11,215,20,60
2,2010-08-01,Wisconsin,Small Market,Coffee,Regular,317,133,149,120,705,140,330
3,2010-08-01,Ohio,Major Market,Coffee,Decaf,89,37,63,33,513,30,90
12,2010-08-01,Illinois,Major Market,Tea,Regular,131,52,49,17,662,40,110
3,2010-08-01,California,Major Market,Coffee,Decaf,166,196,107,64,3139,240,200
3,2010-08-01,Illinois,Major Market,Coffee,Decaf,376,154,72,49,817,160,390
5,2010-08-01,Illinois,Major Market,Espresso,Regular,687,295,130,97,1714,340,810
8,2010-08-01,Illinois,Major Market,Herbal Tea,Decaf,301,123,46,34,941,100,260
11,2010-08-01,New York,Major Market,Tea,Regular,323,132,47,36,994,130,340
1,2010-08-01,Iowa,Small Market,Coffee,Regular,63,25,19,7,851,20,60
3,2010-08-01,Iowa,Small Market,Coffee,Decaf,32,14,17,4,602,10,30
13,2010-08-01,New York,Major Market,Tea,Regular,245,100,40,28,598,100,260
9,2010-08-01,New York,Major Market,Herbal Tea,Decaf,653,284,140,107,1565,210,500
7,2010-08-01,New York,Major Market,Espresso,Regular,543,266,98,74,1319,250,530
2,2010-08-01,California,Major Market,Coffee,Regular,910,364,178,127,2617,450,1130
12,2010-08-01,Missouri,Small Market,Tea,Regular,65,29,45,11,215,20,50
3,2010-08-01,Texas,Major Market,Coffee,Decaf,120,52,29,17,554,60,150
5,2010-08-01,Texas,Major Market,Espresso,Regular,301,123,45,34,941,100,250
2,2010-08-01,Nevada,Small Market,Coffee,Regular,86,38,47,14,248,40,100
3,2010-08-01,Nevada,Small Market,Coffee,Decaf,90,41,33,12,1007,50,110
6,2010-08-01,Nevada,Small Market,Espresso,Decaf,58,23,18,6,806,20,50
10,2010-08-01,Nevada,Small Market,Herbal Tea,Decaf,376,154,72,49,817,130,330
11,2010-08-01,Nevada,Small Market,Tea,Regular,687,295,130,97,1714,190,460
4,2010-08-01,Nevada,Small Market,Espresso,Regular,43,0,11,0,516,0,40
6,2010-08-01,California,Major Market,Espresso,Decaf,687,295,130,97,1714,280,650
5,2010-08-01,Iowa,Small Market,Espresso,Regular,58,23,17,6,806,20,60
8,2010-08-01,Iowa,Small Market,Herbal Tea,Decaf,687,295,130,97,1714,250,600
9,2010-08-01,Iowa,Small Market,Herbal Tea,Decaf,376,154,71,49,817,130,330
1,2010-08-01,Wisconsin,Small Market,Coffee,Regular,140,63,56,23,397,60,140
8,2010-08-01,Wisconsin,Small Market,Herbal Tea,Decaf,126,47,38,14,366,40,110
12,2010-08-01,Wisconsin,Small Market,Tea,Regular,105,44,68,39,617,30,90
10,2010-08-01,New York,Major Market,Herbal Tea,Decaf,124,311,117,96,3422,230,90
2,2010-08-01,Colorado,Major Market,Coffee,Regular,120,52,29,17,554,50,120
3,2010-08-01,Colorado,Major Market,Coffee,Decaf,323,132,47,36,994,130,330
13,2010-08-01,Colorado,Major Market,Tea,Regular,155,68,34,22,587,50,130
6,2010-08-01,Colorado,Major Market,Espresso,Decaf,131,52,49,17,662,60,150
1,2010-08-01,Colorado,Major Market,Coffee,Regular,301,123,45,34,941,130,310
5,2010-08-01,Colorado,Major Market,Espresso,Regular,245,100,40,28,598,110,280
11,2010-08-01,Colorado,Major Market,Tea,Regular,109,49,51,18,414,40,90
11,2010-08-01,California,Major Market,Tea,Regular,301,123,45,34,941,80,200
13,2010-08-01,Nevada,Small Market,Tea,Regular,21,284,141,107,5807,180,0
5,2010-08-01,Nevada,Small Market,Espresso,Regular,63,25,19,7,851,20,60
8,2010-08-01,Nevada,Small Market,Herbal Tea,Decaf,412,173,190,156,927,140,360
9,2010-08-01,Nevada,Small Market,Herbal Tea,Decaf,467,196,108,64,1167,160,410
12,2010-08-01,Nevada,Small Market,Tea,Regular,532,266,99,74,1797,170,360
1,2010-08-01,Utah,Small Market,Coffee,Regular,110,50,36,15,1064,60,130
5,2010-08-01,Utah,Small Market,Espresso,Regular,176,77,37,25,581,70,160
8,2010-08-01,Utah,Small Market,Herbal Tea,Decaf,151,61,41,19,322,50,130
10,2010-08-01,Utah,Small Market,Herbal Tea,Decaf,139,120,60,37,1439,100,120
11,2010-08-01,Utah,Small Market,Tea,Regular,151,63,86,57,332,40,100
4,2010-08-01,Utah,Small Market,Espresso,Regular,80,32,20,8,841,30,70
8,2010-08-01,Florida,Major Market,Herbal Tea,Decaf,69,30,21,9,581,20,50
3,2010-08-01,Missouri,Small Market,Coffee,Decaf,110,50,36,15,1064,50,110
11,2010-08-01,Missouri,Small Market,Tea,Regular,105,45,41,14,253,30,90
13,2010-08-01,California,Major Market,Tea,Regular,131,52,49,17,662,30,80
8,2010-08-01,California,Major Market,Herbal Tea,Decaf,323,132,48,36,994,110,280
2,2010-08-01,New York,Major Market,Coffee,Regular,910,364,178,127,2617,340,860
2,2010-08-01,Illinois,Major Market,Coffee,Regular,467,196,108,64,1167,200,490
6,2010-08-01,Illinois,Major Market,Espresso,Decaf,532,266,99,74,1797,300,620
9,2010-08-01,Illinois,Major Market,Herbal Tea,Decaf,120,52,29,17,554,40,100
2,2010-08-01,Florida,Major Market,Coffee,Regular,286,114,68,37,810,100,270
6,2010-08-01,Florida,Major Market,Espresso,Decaf,231,99,59,32,565,90,220
5,2010-08-01,Connecticut,Small Market,Espresso,Regular,105,44,69,39,617,40,100
9,2010-08-01,Connecticut,Small Market,Herbal Tea,Decaf,160,72,60,27,606,50,120
13,2010-08-01,Florida,Major Market,Tea,Regular,154,63,28,17,864,60,160
12,2010-08-01,New York,Major Market,Tea,Regular,301,123,45,34,941,130,320
9,2010-08-01,California,Major Market,Herbal Tea,Decaf,678,311,118,96,1296,260,590
4,2010-08-01,California,Major Market,Espresso,Regular,532,266,99,74,1797,250,510
5,2010-08-01,Oklahoma,Small Market,Espresso,Regular,41,16,15,4,484,10,30
4,2010-08-01,Oklahoma,Small Market,Espresso,Regular,277,116,59,35,-1278,90,230
5,2010-08-01,Wisconsin,Small Market,Espresso,Regular,226,103,53,31,1073,110,260
11,2010-08-01,Wisconsin,Small Market,Tea,Regular,90,36,34,11,458,30,70
6,2010-08-01,Ohio,Major Market,Espresso,Decaf,109,49,52,18,414,50,120
5,2010-08-01,Florida,Major Market,Espresso,Regular,317,133,149,120,705,120,310
11,2010-08-01,Florida,Major Market,Tea,Regular,114,46,24,12,880,40,120
13,2010-08-01,Connecticut,Small Market,Tea,Regular,47,19,16,5,811,20,50
10,2010-08-01,Connecticut,Small Market,Herbal Tea,Decaf,110,50,36,15,1064,30,80
9,2010-08-01,Colorado,Major Market,Herbal Tea,Decaf,89,37,62,33,513,30,70
12,2010-08-01,Colorado,Major Market,Tea,Regular,91,41,34,12,1046,30,80
2,2010-08-01,Oregon,Small Market,Coffee,Regular,114,47,59,15,474,50,140
8,2010-08-01,Oregon,Small Market,Herbal Tea,Decaf,62,25,18,7,826,20,50
12,2010-08-01,Oregon,Small Market,Tea,Regular,286,114,68,37,810,70,190
4,2010-08-01,Oregon,Small Market,Espresso,Regular,109,49,51,18,414,40,100
2,2010-08-01,Texas,Major Market,Coffee,Regular,678,311,117,96,1296,390,840
9,2010-08-01,Louisiana,Small Market,Herbal Tea,Decaf,160,72,60,27,606,60,150
4,2010-08-01,Louisiana,Small Market,Espresso,Regular,105,44,68,39,-508,30,90
11,2010-09-01,Connecticut,Small Market,Tea,Regular,108,44,23,12,886,40,110
6,2010-09-01,Washington,Small Market,Espresso,Decaf,182,83,46,25,1063,70,170
4,2010-09-01,Washington,Small Market,Espresso,Regular,76,33,22,10,577,30,70
9,2010-09-01,California,Major Market,Herbal Tea,Decaf,546,251,99,77,1268,210,480
10,2010-09-01,New York,Major Market,Herbal Tea,Decaf,112,251,99,77,3948,190,80
6,2010-09-01,California,Major Market,Espresso,Decaf,589,253,116,83,1686,240,560
2,2010-09-01,Texas,Major Market,Coffee,Regular,546,251,98,77,1268,310,680
9,2010-09-01,Louisiana,Small Market,Herbal Tea,Decaf,150,67,58,25,599,60,140
3,2010-09-01,Ohio,Major Market,Coffee,Decaf,126,52,77,47,509,50,130
5,2010-09-01,Washington,Small Market,Espresso,Regular,149,67,59,25,391,60,140
8,2010-09-01,Washington,Small Market,Herbal Tea,Decaf,258,103,64,33,1130,80,220
3,2010-09-01,Wisconsin,Small Market,Coffee,Decaf,199,85,56,28,555,90,200
5,2010-09-01,Colorado,Major Market,Espresso,Regular,199,81,34,22,588,90,230
6,2010-09-01,Colorado,Major Market,Espresso,Decaf,150,60,51,19,656,60,170
9,2010-09-01,Florida,Major Market,Herbal Tea,Decaf,149,67,58,25,391,50,110
2,2010-09-01,Illinois,Major Market,Coffee,Regular,387,162,96,53,1148,170,400
11,2010-09-01,California,Major Market,Tea,Regular,302,123,45,34,928,80,200
6,2010-09-01,Illinois,Major Market,Espresso,Decaf,498,249,94,69,1775,280,580
2,2010-09-01,Missouri,Small Market,Coffee,Regular,150,67,58,25,599,70,150
3,2010-09-01,Missouri,Small Market,Coffee,Decaf,136,62,40,19,1059,60,140
11,2010-09-01,Missouri,Small Market,Tea,Regular,91,39,39,12,248,30,80
12,2010-09-01,Missouri,Small Market,Tea,Regular,54,24,42,9,212,20,40
2,2010-09-01,Louisiana,Small Market,Coffee,Regular,119,48,25,13,834,60,140
8,2010-09-01,Louisiana,Small Market,Herbal Tea,Decaf,159,69,35,22,572,60,150
4,2010-09-01,Louisiana,Small Market,Espresso,Regular,149,62,85,56,-613,50,120
1,2010-09-01,Iowa,Small Market,Coffee,Regular,48,19,16,5,848,20,50
2,2010-09-01,Iowa,Small Market,Coffee,Regular,72,33,32,10,1003,30,70
6,2010-09-01,Iowa,Small Market,Espresso,Decaf,43,0,11,0,473,0,50
3,2010-09-01,Texas,Major Market,Coffee,Decaf,132,58,32,19,548,70,160
11,2010-09-01,Massachusetts,Major Market,Tea,Regular,72,29,20,8,862,30,70
11,2010-09-01,New York,Major Market,Tea,Regular,245,100,39,28,981,100,260
2,2010-09-01,Washington,Small Market,Coffee,Regular,167,68,43,21,445,80,200
3,2010-09-01,Washington,Small Market,Coffee,Decaf,223,93,114,84,692,110,270
9,2010-09-01,Washington,Small Market,Herbal Tea,Decaf,119,48,24,13,834,40,100
12,2010-09-01,Washington,Small Market,Tea,Regular,113,46,36,14,454,30,70
2,2010-09-01,Florida,Major Market,Coffee,Regular,249,99,64,32,798,90,230
10,2010-09-01,Florida,Major Market,Herbal Tea,Decaf,182,83,46,25,1063,60,140
2,2010-09-01,Massachusetts,Major Market,Coffee,Regular,576,60,51,19,-2572,50,540
1,2010-09-01,Wisconsin,Small Market,Coffee,Regular,149,67,59,25,391,70,150
2,2010-09-01,Wisconsin,Small Market,Coffee,Regular,223,93,114,84,692,90,230
5,2010-09-01,Wisconsin,Small Market,Espresso,Regular,182,83,46,25,1063,90,210
6,2010-09-01,Missouri,Small Market,Espresso,Decaf,79,32,20,8,837,30,90
2,2010-09-01,Ohio,Major Market,Coffee,Regular,107,43,35,13,424,40,110
9,2010-09-01,Ohio,Major Market,Herbal Tea,Decaf,72,29,20,8,862,20,60
13,2010-09-01,Washington,Small Market,Tea,Regular,149,62,85,56,612,40,100
11,2010-09-01,Washington,Small Market,Tea,Regular,151,57,40,17,349,30,100
2,2010-09-01,Utah,Small Market,Coffee,Regular,113,48,43,15,380,60,140
13,2010-09-01,Utah,Small Market,Tea,Regular,54,24,43,9,212,10,30
5,2010-09-01,Utah,Small Market,Espresso,Regular,159,69,34,22,572,60,150
6,2010-09-01,Utah,Small Market,Espresso,Decaf,108,44,24,12,886,40,100
8,2010-09-01,Utah,Small Market,Herbal Tea,Decaf,120,49,37,15,315,40,100
9,2010-09-01,Utah,Small Market,Herbal Tea,Decaf,139,55,50,18,453,40,120
11,2010-09-01,Utah,Small Market,Tea,Regular,106,44,69,40,325,20,70
4,2010-09-01,Utah,Small Market,Espresso,Regular,79,32,20,8,837,30,70
11,2010-09-01,Ohio,Major Market,Tea,Regular,249,99,63,32,798,80,210
10,2010-09-01,Connecticut,Small Market,Herbal Tea,Decaf,136,62,41,19,1059,40,100
4,2010-09-01,Oregon,Small Market,Espresso,Regular,102,45,51,17,409,40,90
3,2010-09-01,Louisiana,Small Market,Coffee,Decaf,126,51,25,14,857,60,150
2,2010-09-01,New Mexico,Small Market,Coffee,Regular,139,55,50,18,453,60,170
3,2010-09-01,New Mexico,Small Market,Coffee,Decaf,115,104,55,32,1574,130,140
5,2010-09-01,New Mexico,Small Market,Espresso,Regular,106,44,70,40,325,30,90
6,2010-09-01,New Mexico,Small Market,Espresso,Decaf,91,39,39,12,248,30,70
8,2010-09-01,New Mexico,Small Market,Herbal Tea,Decaf,48,19,16,5,848,10,40
9,2010-09-01,New Mexico,Small Market,Herbal Tea,Decaf,72,33,31,10,1003,30,70
4,2010-09-01,New Mexico,Small Market,Espresso,Regular,54,24,42,9,-412,20,40
5,2010-09-01,Massachusetts,Major Market,Espresso,Regular,98,52,77,47,520,40,90
5,2010-09-01,Ohio,Major Market,Espresso,Regular,310,155,68,43,1280,170,360
12,2010-09-01,Ohio,Major Market,Tea,Regular,230,96,53,29,666,80,200
5,2010-09-01,Iowa,Small Market,Espresso,Regular,58,23,17,6,803,20,60
12,2010-09-01,New York,Major Market,Tea,Regular,302,123,46,34,928,130,320
1,2010-09-01,Oregon,Small Market,Coffee,Regular,126,52,77,47,509,60,150
2,2010-09-01,Oregon,Small Market,Coffee,Regular,137,57,62,18,469,70,170
13,2010-09-01,Oregon,Small Market,Tea,Regular,230,96,53,29,666,60,150
5,2010-09-01,Oregon,Small Market,Espresso,Regular,125,53,44,17,410,50,120
6,2010-09-01,Oregon,Small Market,Espresso,Decaf,310,155,68,43,1280,140,290
8,2010-09-01,Oregon,Small Market,Herbal Tea,Decaf,61,25,19,7,823,20,50
11,2010-09-01,Oregon,Small Market,Tea,Regular,50,20,17,5,482,10,30
12,2010-09-01,Oregon,Small Market,Tea,Regular,249,99,63,32,798,60,160
8,2010-09-01,Florida,Major Market,Herbal Tea,Decaf,76,33,22,10,577,20,50
3,2010-09-01,Iowa,Small Market,Coffee,Decaf,35,15,17,4,600,10,30
9,2010-09-01,Iowa,Small Market,Herbal Tea,Decaf,298,122,61,39,801,100,260
6,2010-09-01,Ohio,Major Market,Espresso,Decaf,102,45,51,17,409,50,120
13,2010-09-01,Missouri,Small Market,Tea,Regular,91,40,49,15,244,30,80
2,2010-09-01,Oklahoma,Small Market,Coffee,Regular,140,61,32,20,579,70,170
3,2010-09-01,Oklahoma,Small Market,Coffee,Decaf,72,29,20,8,862,30,90
